﻿COUNTRY,YEAR,SPECIMEN,PATHOGEN,GENDER,ORIGIN,AGEGROUP,ANTIBIOTIC,RESISTANT,INTERMEDIATE,NONSUSCEPTIBLE,SUSCEPTIBLE,UNKNOWN_NO_AST,UNKNOWN_NO_BREAKPOINTS,BATCHID
JPN,2017,URINE,ESCCOL,M,CO,15<24,DOR,0,0,0,0,390,25,DS1
JPN,2017,URINE,ESCCOL,M,CO,25<34,DOR,0,0,0,0,480,28,DS1
JPN,2017,URINE,ESCCOL,M,CO,35<44,DOR,0,0,0,0,878,50,DS1
JPN,2017,URINE,ESCCOL,M,CO,45<54,DOR,0,0,0,0,1667,98,DS1
JPN,2017,URINE,ESCCOL,M,CO,55<64,DOR,0,0,0,0,3507,230,DS1
JPN,2017,URINE,ESCCOL,M,CO,65<74,DOR,0,0,0,0,9880,670,DS1
JPN,2017,URINE,ESCCOL,M,CO,75<84,DOR,0,0,0,0,14803,1030,DS1
JPN,2017,URINE,ESCCOL,M,CO,85<,DOR,0,0,0,0,9376,582,DS1
JPN,2017,URINE,ESCCOL,M,HO,<1,DOR,0,0,0,0,1803,78,DS1
JPN,2017,URINE,ESCCOL,M,HO,01<04,DOR,0,0,0,0,404,23,DS1
JPN,2017,URINE,ESCCOL,M,HO,05<14,DOR,0,0,0,0,237,16,DS1
JPN,2017,URINE,ESCCOL,M,HO,15<24,DOR,0,0,0,0,269,20,DS1
JPN,2017,URINE,ESCCOL,M,HO,25<34,DOR,0,0,0,0,296,22,DS1
JPN,2017,URINE,ESCCOL,M,HO,35<44,DOR,0,0,0,0,614,45,DS1
JPN,2017,URINE,ESCCOL,M,HO,45<54,DOR,0,0,0,0,1449,124,DS1
JPN,2017,URINE,ESCCOL,M,HO,55<64,DOR,0,0,0,0,3250,222,DS1
JPN,2017,URINE,ESCCOL,M,HO,65<74,DOR,0,0,0,0,8546,620,DS1
JPN,2017,URINE,ESCCOL,M,HO,75<84,DOR,0,0,0,0,13688,904,DS1
JPN,2017,URINE,ESCCOL,M,HO,85<,DOR,0,0,0,0,9632,653,DS1
JPN,2017,URINE,ESCCOL,F,CO,<1,DOR,0,0,0,0,1703,81,DS1
JPN,2017,URINE,ESCCOL,F,CO,01<04,DOR,0,0,0,0,1270,65,DS1
JPN,2017,URINE,ESCCOL,F,CO,05<14,DOR,0,0,0,0,1369,73,DS1
JPN,2017,URINE,ESCCOL,F,CO,15<24,DOR,0,0,0,0,3300,219,DS1
JPN,2017,URINE,ESCCOL,F,CO,25<34,DOR,0,0,0,0,4204,234,DS1
JPN,2017,URINE,ESCCOL,F,CO,35<44,DOR,0,0,0,0,5001,302,DS1
JPN,2017,URINE,ESCCOL,F,CO,45<54,DOR,0,0,0,0,7677,530,DS1
JPN,2017,URINE,ESCCOL,F,CO,55<64,DOR,0,0,0,0,10410,675,DS1
JPN,2017,URINE,ESCCOL,F,CO,65<74,DOR,0,0,0,0,22546,1513,DS1
JPN,2017,URINE,ESCCOL,F,CO,75<84,DOR,0,0,0,0,35444,2166,DS1
JPN,2017,URINE,ESCCOL,F,CO,85<,DOR,0,0,0,0,34329,1932,DS1
JPN,2017,URINE,ESCCOL,F,HO,<1,DOR,0,0,0,0,1092,66,DS1
JPN,2017,URINE,ESCCOL,F,HO,01<04,DOR,0,0,0,0,762,51,DS1
JPN,2017,URINE,ESCCOL,F,HO,05<14,DOR,0,0,0,0,490,38,DS1
JPN,2017,URINE,ESCCOL,F,HO,15<24,DOR,0,0,0,0,570,53,DS1
JPN,2017,URINE,ESCCOL,F,HO,25<34,DOR,0,0,0,0,836,70,DS1
JPN,2017,URINE,ESCCOL,F,HO,35<44,DOR,0,0,0,0,1444,130,DS1
JPN,2017,URINE,ESCCOL,F,HO,45<54,DOR,0,0,0,0,2672,230,DS1
JPN,2017,URINE,ESCCOL,F,HO,55<64,DOR,0,0,0,0,4804,391,DS1
JPN,2017,URINE,ESCCOL,F,HO,65<74,DOR,0,0,0,0,12443,1040,DS1
JPN,2017,URINE,ESCCOL,F,HO,75<84,DOR,0,0,0,0,27765,1893,DS1
JPN,2017,URINE,ESCCOL,F,HO,85<,DOR,0,0,0,0,36230,2210,DS1
JPN,2017,URINE,ESCCOL,M,CO,<1,CTX,357,11,0,2458,719,40,DS1
JPN,2017,URINE,ESCCOL,M,CO,01<04,CTX,149,7,0,385,107,16,DS1
JPN,2017,URINE,ESCCOL,M,CO,05<14,CTX,84,6,0,332,82,2,DS1
JPN,2017,URINE,ESCCOL,M,CO,15<24,CTX,52,1,0,278,80,4,DS1
JPN,2017,URINE,ESCCOL,M,CO,25<34,CTX,58,6,1,304,135,4,DS1
JPN,2017,URINE,ESCCOL,M,CO,35<44,CTX,128,0,1,551,246,2,DS1
JPN,2017,URINE,ESCCOL,M,CO,45<54,CTX,248,5,1,1077,412,22,DS1
JPN,2017,URINE,ESCCOL,M,CO,55<64,CTX,565,17,1,2259,868,27,DS1
JPN,2017,URINE,ESCCOL,M,CO,65<74,CTX,1590,34,9,6420,2402,95,DS1
JPN,2017,URINE,ESCCOL,M,CO,75<84,CTX,2688,51,7,9369,3607,111,DS1
JPN,2017,URINE,ESCCOL,M,CO,85<,CTX,2057,32,7,5564,2215,83,DS1
JPN,2017,URINE,ESCCOL,M,HO,<1,CTX,201,5,3,1266,395,11,DS1
JPN,2017,URINE,ESCCOL,M,HO,01<04,CTX,110,7,1,229,78,2,DS1
JPN,2017,URINE,ESCCOL,M,HO,05<14,CTX,76,3,0,133,40,1,DS1
JPN,2017,URINE,ESCCOL,M,HO,15<24,CTX,63,5,1,159,59,2,DS1
JPN,2017,URINE,ESCCOL,M,HO,25<34,CTX,71,0,0,159,84,4,DS1
JPN,2017,URINE,ESCCOL,M,HO,35<44,CTX,155,5,0,336,158,5,DS1
JPN,2017,URINE,ESCCOL,M,HO,45<54,CTX,345,8,3,838,372,7,DS1
JPN,2017,URINE,ESCCOL,M,HO,55<64,CTX,708,11,2,1906,818,27,DS1
JPN,2017,URINE,ESCCOL,M,HO,65<74,CTX,1878,36,21,4803,2358,70,DS1
JPN,2017,URINE,ESCCOL,M,HO,75<84,CTX,3144,66,23,7415,3844,100,DS1
JPN,2017,URINE,ESCCOL,M,HO,85<,CTX,2399,36,19,4942,2835,54,DS1
JPN,2017,URINE,ESCCOL,F,CO,<1,CTX,188,3,0,1209,369,15,DS1
JPN,2017,URINE,ESCCOL,F,CO,01<04,CTX,183,2,0,916,219,15,DS1
JPN,2017,URINE,ESCCOL,F,CO,05<14,CTX,142,8,0,999,271,22,DS1
JPN,2017,URINE,ESCCOL,F,CO,15<24,CTX,202,7,2,2303,952,53,DS1
JPN,2017,URINE,ESCCOL,F,CO,25<34,CTX,270,12,0,2933,1192,31,DS1
JPN,2017,URINE,ESCCOL,F,CO,35<44,CTX,342,14,4,3440,1451,52,DS1
JPN,2017,URINE,ESCCOL,F,CO,45<54,CTX,522,10,7,5340,2240,88,DS1
JPN,2017,URINE,ESCCOL,F,CO,55<64,CTX,1010,36,12,7080,2866,81,DS1
JPN,2017,URINE,ESCCOL,F,CO,65<74,CTX,2520,81,19,15063,6157,219,DS1
JPN,2017,URINE,ESCCOL,F,CO,75<84,CTX,4805,116,28,23147,9179,335,DS1
JPN,2017,URINE,ESCCOL,F,CO,85<,CTX,6024,109,29,21556,8225,318,DS1
JPN,2017,URINE,ESCCOL,F,HO,<1,CTX,121,7,1,793,228,8,DS1
JPN,2017,URINE,ESCCOL,F,HO,01<04,CTX,170,6,1,468,159,9,DS1
JPN,2017,URINE,ESCCOL,F,HO,05<14,CTX,101,2,1,318,105,1,DS1
JPN,2017,URINE,ESCCOL,F,HO,15<24,CTX,78,6,2,391,133,13,DS1
JPN,2017,URINE,ESCCOL,F,HO,25<34,CTX,127,4,0,550,216,9,DS1
JPN,2017,URINE,ESCCOL,F,HO,35<44,CTX,213,3,1,996,351,10,DS1
JPN,2017,URINE,ESCCOL,F,HO,45<54,CTX,371,10,5,1778,710,28,DS1
JPN,2017,URINE,ESCCOL,F,HO,55<64,CTX,787,25,4,3059,1285,35,DS1
JPN,2017,URINE,ESCCOL,F,HO,65<74,CTX,2081,68,22,7749,3427,136,DS1
JPN,2017,URINE,ESCCOL,F,HO,75<84,CTX,4759,96,67,16728,7798,210,DS1
JPN,2017,URINE,ESCCOL,F,HO,85<,CTX,6892,125,97,20266,10844,216,DS1
JPN,2017,URINE,ESCCOL,M,CO,<1,CRO,291,3,0,2175,1113,3,DS1
JPN,2017,URINE,ESCCOL,M,CO,01<04,CRO,102,3,0,348,209,2,DS1
JPN,2017,URINE,ESCCOL,M,CO,05<14,CRO,71,2,0,276,156,1,DS1
JPN,2017,URINE,ESCCOL,M,CO,15<24,CRO,41,1,0,254,118,1,DS1
JPN,2017,URINE,ESCCOL,M,CO,25<34,CRO,54,1,0,315,138,0,DS1
JPN,2017,URINE,ESCCOL,M,CO,35<44,CRO,118,4,0,557,249,0,DS1
JPN,2017,URINE,ESCCOL,M,CO,45<54,CRO,226,2,0,1029,506,2,DS1
JPN,2017,URINE,ESCCOL,M,CO,55<64,CRO,540,3,0,2194,999,1,DS1
JPN,2017,URINE,ESCCOL,M,CO,65<74,CRO,1486,11,1,6190,2851,11,DS1
JPN,2017,URINE,ESCCOL,M,CO,75<84,CRO,2471,27,5,8985,4332,13,DS1
JPN,2017,URINE,ESCCOL,M,CO,85<,CRO,1939,16,2,5275,2719,7,DS1
JPN,2017,URINE,ESCCOL,M,HO,<1,CRO,159,3,3,1123,590,3,DS1
JPN,2017,URINE,ESCCOL,M,HO,01<04,CRO,89,4,1,203,130,0,DS1
JPN,2017,URINE,ESCCOL,M,HO,05<14,CRO,66,3,0,109,74,1,DS1
JPN,2017,URINE,ESCCOL,M,HO,15<24,CRO,59,1,1,153,75,0,DS1
JPN,2017,URINE,ESCCOL,M,HO,25<34,CRO,63,2,0,165,88,0,DS1
JPN,2017,URINE,ESCCOL,M,HO,35<44,CRO,144,2,0,344,169,0,DS1
JPN,2017,URINE,ESCCOL,M,HO,45<54,CRO,336,2,3,808,419,5,DS1
JPN,2017,URINE,ESCCOL,M,HO,55<64,CRO,701,9,1,1857,900,4,DS1
JPN,2017,URINE,ESCCOL,M,HO,65<74,CRO,1961,28,8,4843,2312,14,DS1
JPN,2017,URINE,ESCCOL,M,HO,75<84,CRO,3309,18,10,7438,3808,9,DS1
JPN,2017,URINE,ESCCOL,M,HO,85<,CRO,2522,24,6,5033,2695,5,DS1
JPN,2017,URINE,ESCCOL,F,CO,<1,CRO,142,3,0,1101,537,1,DS1
JPN,2017,URINE,ESCCOL,F,CO,01<04,CRO,146,1,0,793,395,0,DS1
JPN,2017,URINE,ESCCOL,F,CO,05<14,CRO,108,2,0,861,469,2,DS1
JPN,2017,URINE,ESCCOL,F,CO,15<24,CRO,183,5,1,2371,957,2,DS1
JPN,2017,URINE,ESCCOL,F,CO,25<34,CRO,263,5,0,2992,1173,5,DS1
JPN,2017,URINE,ESCCOL,F,CO,35<44,CRO,325,5,1,3511,1456,5,DS1
JPN,2017,URINE,ESCCOL,F,CO,45<54,CRO,541,12,3,5403,2245,3,DS1
JPN,2017,URINE,ESCCOL,F,CO,55<64,CRO,969,17,2,6972,3115,10,DS1
JPN,2017,URINE,ESCCOL,F,CO,65<74,CRO,2403,41,7,14874,6711,23,DS1
JPN,2017,URINE,ESCCOL,F,CO,75<84,CRO,4459,70,10,22623,10424,24,DS1
JPN,2017,URINE,ESCCOL,F,CO,85<,CRO,5762,57,14,20422,9991,15,DS1
JPN,2017,URINE,ESCCOL,F,HO,<1,CRO,101,3,1,692,358,3,DS1
JPN,2017,URINE,ESCCOL,F,HO,01<04,CRO,156,3,1,415,237,1,DS1
JPN,2017,URINE,ESCCOL,F,HO,05<14,CRO,95,1,1,287,144,0,DS1
JPN,2017,URINE,ESCCOL,F,HO,15<24,CRO,73,3,2,385,160,0,DS1
JPN,2017,URINE,ESCCOL,F,HO,25<34,CRO,114,4,0,546,240,2,DS1
JPN,2017,URINE,ESCCOL,F,HO,35<44,CRO,221,3,0,903,443,4,DS1
JPN,2017,URINE,ESCCOL,F,HO,45<54,CRO,385,4,3,1755,752,3,DS1
JPN,2017,URINE,ESCCOL,F,HO,55<64,CRO,734,15,4,3040,1393,9,DS1
JPN,2017,URINE,ESCCOL,F,HO,65<74,CRO,2153,21,12,7793,3482,22,DS1
JPN,2017,URINE,ESCCOL,F,HO,75<84,CRO,4954,75,31,16741,7826,31,DS1
JPN,2017,URINE,ESCCOL,F,HO,85<,CRO,7366,78,37,21010,9917,32,DS1
JPN,2017,URINE,ESCCOL,M,CO,<1,CAZ,135,80,0,3268,75,27,DS1
JPN,2017,URINE,ESCCOL,M,CO,01<04,CAZ,62,21,0,575,1,5,DS1
JPN,2017,URINE,ESCCOL,M,CO,05<14,CAZ,46,17,0,441,0,2,DS1
JPN,2017,URINE,ESCCOL,M,CO,15<24,CAZ,27,6,0,369,8,5,DS1
JPN,2017,URINE,ESCCOL,M,CO,25<34,CAZ,34,17,0,450,1,6,DS1
JPN,2017,URINE,ESCCOL,M,CO,35<44,CAZ,71,28,0,805,21,3,DS1
JPN,2017,URINE,ESCCOL,M,CO,45<54,CAZ,127,56,0,1536,34,12,DS1
JPN,2017,URINE,ESCCOL,M,CO,55<64,CAZ,333,130,1,3205,32,36,DS1
JPN,2017,URINE,ESCCOL,M,CO,65<74,CAZ,857,354,1,9072,164,102,DS1
JPN,2017,URINE,ESCCOL,M,CO,75<84,CAZ,1583,582,2,13349,191,126,DS1
JPN,2017,URINE,ESCCOL,M,CO,85<,CAZ,1203,458,0,8073,122,102,DS1
JPN,2017,URINE,ESCCOL,M,HO,<1,CAZ,95,48,0,1716,15,7,DS1
JPN,2017,URINE,ESCCOL,M,HO,01<04,CAZ,56,28,0,342,0,1,DS1
JPN,2017,URINE,ESCCOL,M,HO,05<14,CAZ,52,14,0,187,0,0,DS1
JPN,2017,URINE,ESCCOL,M,HO,15<24,CAZ,32,14,0,242,0,1,DS1
JPN,2017,URINE,ESCCOL,M,HO,25<34,CAZ,43,18,0,256,0,1,DS1
JPN,2017,URINE,ESCCOL,M,HO,35<44,CAZ,96,44,0,515,0,4,DS1
JPN,2017,URINE,ESCCOL,M,HO,45<54,CAZ,218,76,0,1272,1,6,DS1
JPN,2017,URINE,ESCCOL,M,HO,55<64,CAZ,425,160,0,2865,0,22,DS1
JPN,2017,URINE,ESCCOL,M,HO,65<74,CAZ,1162,463,0,7405,93,43,DS1
JPN,2017,URINE,ESCCOL,M,HO,75<84,CAZ,2032,758,0,11511,209,82,DS1
JPN,2017,URINE,ESCCOL,M,HO,85<,CAZ,1585,509,1,7907,226,57,DS1
